epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,164.332,0.80381,1.19987,0.92508,1.04509,0,0.79141,0.82678,0.86642,0.65461,0.80042,0.83552,0.87578,0.65405,0.73086,1.15636,0.81632,1.00108,0,0.000614,0.000614,0.000614
30,169.964,0.79775,1.18653,0.91686,1.02456,0,0.77095,0.81818,0.85134,0.66491,0.78518,0.82464,0.86766,0.65529,0.7002,1.09586,0.81437,0.99029,0,0.0005645,0.0005645,0.0005645
31,190.378,0.90428,1.46487,1.23371,1.10777,0,0.67907,0.79767,0.78915,0.59929,0.70944,0.83115,0.81268,0.58525,0.77826,1.22235,1.00138,1.0423,0,0.000515,0.000515,0.000515
32,195.616,0.81305,1.27762,1.04746,1.05252,0,0.70761,0.75109,0.78798,0.56502,0.73135,0.7671,0.79903,0.5348,0.91013,1.35392,0.98143,1.08385,0,0.0004655,0.0004655,0.0004655
33,200.938,0.78124,1.2406,1.05524,1.03034,0,0.7969,0.7409,0.84077,0.66061,0.7973,0.76723,0.85252,0.65721,0.69213,1.09805,0.89105,0.98913,0,0.000416,0.000416,0.000416
34,206.144,0.73568,1.13786,1.00368,1.0117,0,0.72135,0.8064,0.83801,0.6637,0.73949,0.82242,0.85189,0.66013,0.66063,1.07713,0.85635,0.97296,0,0.0003665,0.0003665,0.0003665
35,211.392,0.7528,1.17363,0.98726,1.02473,0,0.7077,0.80705,0.82103,0.639,0.72803,0.82996,0.83939,0.64465,0.6784,1.09589,0.89266,0.97789,0,0.000317,0.000317,0.000317
36,216.557,0.70917,1.09232,0.93938,0.99824,0,0.74653,0.78748,0.83101,0.65186,0.75881,0.80349,0.84967,0.6556,0.66599,1.07147,0.88154,0.97392,0,0.0002675,0.0002675,0.0002675
37,221.778,0.68985,1.05536,0.91725,0.99304,0,0.80519,0.79417,0.85499,0.681,0.81974,0.81077,0.87479,0.66605,0.65281,1.04134,0.8156,0.96791,0,0.000218,0.000218,0.000218
38,227.077,0.69367,1.05385,0.89118,0.98752,0,0.77646,0.82387,0.86516,0.69166,0.78589,0.83349,0.87742,0.67913,0.64458,1.02425,0.79582,0.9615,0,0.0001685,0.0001685,0.0001685
39,232.453,0.69676,1.0405,0.89214,0.98019,0,0.78899,0.78894,0.84548,0.66647,0.81375,0.80932,0.86246,0.64134,0.70303,1.09491,0.84075,0.98351,0,0.000119,0.000119,0.000119
40,237.674,0.68415,1.02862,0.88983,0.9982,0,0.78741,0.78176,0.84717,0.6744,0.80662,0.81077,0.86385,0.65155,0.68444,1.07678,0.83753,0.97635,0,6.95e-05,6.95e-05,6.95e-05
