epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34604,1.44007,3.89763,3.32255,1.42678,0,0.01033,0.28683,0.09973,0.08432,0.00485,0.15289,0.08331,0.04627,1.34185,3.6451,3.30842,1.36554,0,0.00041441,0.00041441,0.00041441
2,13.5718,1.51056,3.31216,3.07324,1.32169,0,0.02025,0.31661,0.10552,0.08074,0.01371,0.22176,0.08427,0.04862,1.54198,3.13481,3.13196,1.32427,0,0.000676174,0.000676174,0.000676174
3,18.9168,1.4444,2.99414,2.75763,1.29115,0,0.98088,0.08889,0.1172,0.09294,0.98088,0.08889,0.10404,0.06419,1.54182,2.61167,2.7727,1.32534,0,0.000768173,0.000768173,0.000768173
4,24.2321,1.39834,2.73368,2.58296,1.27789,0,0.8941,0.10328,0.20289,0.14072,0.8941,0.10328,0.16974,0.09457,1.52212,2.53146,2.31622,1.31192,0,0.000580174,0.000580174,0.000580174
5,29.5786,1.44518,2.82091,2.42418,1.27497,0,0.82999,0.17257,0.2934,0.20936,0.76291,0.15389,0.2498,0.13661,1.44837,2.47375,2.06567,1.23072,0,0.000297232,0.000297232,0.000297232
