epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,238.999,1.48447,2.41434,1.04803,1.06724,0,0.82353,0.5881,0.63428,0.39467,0.81585,0.59206,0.66281,0.3631,1.28728,1.96706,0.91912,0.99937,0,0.000775822,0.000775822,0.000775822
29,252.209,1.54516,2.47365,1.07292,1.05843,0,0.86574,0.54178,0.63521,0.39974,0.85476,0.54483,0.65153,0.36555,1.26725,1.99831,0.91058,0.99634,0,0.000742815,0.000742815,0.000742815
30,264.504,1.45163,2.32256,1.01837,1.06213,0,0.76961,0.60947,0.63041,0.39089,0.78946,0.62975,0.67245,0.35895,1.37115,1.90528,0.87869,1.04585,0,0.000709809,0.000709809,0.000709809
31,277.303,1.53582,2.45741,1.0445,1.0625,0,0.85877,0.60389,0.6505,0.40383,0.85243,0.62178,0.67598,0.37733,1.35101,1.90546,0.87733,1.02022,0,0.000676802,0.000676802,0.000676802
32,290.265,1.48307,2.36798,1.00891,1.0478,0,0.86958,0.6027,0.65471,0.41706,0.8645,0.60046,0.68547,0.38143,1.32643,1.8424,0.8652,1.01858,0,0.000643795,0.000643795,0.000643795
33,302.915,1.50198,2.36275,1.00066,1.04545,0,0.86912,0.60935,0.6545,0.42681,0.86353,0.62267,0.69747,0.39097,1.21141,1.78705,0.83202,0.97164,0,0.000610789,0.000610789,0.000610789
34,314.871,1.48455,2.34418,1.01375,1.0489,0,0.91906,0.60715,0.65905,0.43119,0.90916,0.61851,0.71231,0.40281,1.2141,1.7484,0.81635,0.97099,0,0.000577782,0.000577782,0.000577782
35,325.983,1.49066,2.39766,0.9906,1.03583,0,0.86827,0.59574,0.66231,0.43706,0.88993,0.60294,0.70161,0.40139,1.18244,1.76596,0.80779,0.96285,0,0.000544776,0.000544776,0.000544776
36,336.588,1.40782,2.2565,0.97202,1.03245,0,0.92992,0.59149,0.665,0.44109,0.93965,0.58535,0.68587,0.38833,1.14613,1.78617,0.80535,0.95425,0,0.000511769,0.000511769,0.000511769
37,346.062,1.46568,2.36979,1.07587,1.03416,0,0.89618,0.60006,0.66131,0.42434,0.8945,0.61168,0.69421,0.40425,1.2133,1.70941,0.82952,0.96227,0,0.000478762,0.000478762,0.000478762
38,356.139,1.47704,2.37496,1.00196,1.03726,0,0.87638,0.58657,0.6518,0.42225,0.88479,0.59715,0.69507,0.39799,1.18955,1.74945,0.81987,0.97925,0,0.000445756,0.000445756,0.000445756
39,365.672,1.37831,2.25313,0.95552,1.02184,0,0.89504,0.59161,0.65491,0.43283,0.85992,0.62235,0.69695,0.40668,1.14314,1.6849,0.82501,0.95169,0,0.000412749,0.000412749,0.000412749
40,374.887,1.44159,2.27799,0.96648,1.02863,0,0.85677,0.6111,0.66235,0.44175,0.84213,0.64782,0.70159,0.40297,1.16889,1.65267,0.80389,0.95183,0,0.000379743,0.000379743,0.000379743
41,404.518,1.29783,2.09146,0.96155,1.0159,0,0.83694,0.62112,0.65769,0.44253,0.83219,0.64617,0.70804,0.41127,1.14882,1.69401,0.77744,0.94528,0,0.000346736,0.000346736,0.000346736
42,414.565,1.35531,2.15291,0.98595,1.01371,0,0.85048,0.60897,0.65766,0.44484,0.86075,0.61966,0.70279,0.40887,1.16434,1.63248,0.77449,0.94729,0,0.000313729,0.000313729,0.000313729
43,423.883,1.26059,2.05328,0.91716,1.01383,0,0.91286,0.59466,0.66401,0.45262,0.82323,0.6384,0.70724,0.41249,1.1342,1.65549,0.77179,0.9394,0,0.000280723,0.000280723,0.000280723
44,433.42,1.28505,2.0774,0.91969,1.01338,0,0.89445,0.59941,0.66741,0.44987,0.86159,0.65527,0.72348,0.4175,1.17546,1.64024,0.79107,0.94526,0,0.000247716,0.000247716,0.000247716
45,442.721,1.30672,2.12933,0.9186,1.00279,0,0.90585,0.59676,0.66214,0.45274,0.919,0.60865,0.71748,0.42022,1.13845,1.62708,0.78083,0.94193,0,0.00021471,0.00021471,0.00021471
46,451.785,1.25634,2.05529,0.89938,1.00445,0,0.86609,0.61627,0.66661,0.44813,0.85491,0.63768,0.71674,0.4235,1.13845,1.6203,0.77595,0.93917,0,0.000181703,0.000181703,0.000181703
47,460.18,1.29258,2.0556,0.91957,0.99894,0,0.92055,0.60423,0.66917,0.45343,0.90268,0.62499,0.72111,0.4111,1.11681,1.60433,0.76849,0.936,0,0.000148696,0.000148696,0.000148696
48,468.855,1.29048,2.08533,0.90326,0.98696,0,0.89782,0.61498,0.67142,0.45459,0.90437,0.62202,0.72176,0.41883,1.14797,1.59616,0.76273,0.94223,0,0.00011569,0.00011569,0.00011569
49,478.311,1.30467,2.05366,0.9194,0.99063,0,0.8904,0.61341,0.67048,0.45958,0.92548,0.6023,0.71676,0.41719,1.13378,1.61057,0.7558,0.94232,0,8.26832e-05,8.26832e-05,8.26832e-05
50,488.342,1.24337,2.01144,0.874,1.0012,0,0.88806,0.61138,0.66801,0.45914,0.93885,0.59355,0.72105,0.42314,1.11387,1.61042,0.75254,0.93813,0,4.96766e-05,4.96766e-05,4.96766e-05
