epoch,train_loss,val_loss,val_iou_mean,train_loss_Pecan,val_loss_Pecan,val_iou_Pecan,train_loss_Crack,val_loss_Crack,val_iou_Crack,train_loss_Kernel,val_loss_Kernel,val_iou_Kernel
1,6.826550598439759,4.4238664566126085,0.7056989896295494,0.1531891453920341,0.10136813409906581,0.9407289848291784,0.5760621218811056,0.46208985945335906,0.6458226926344678,0.47413135438766085,0.25150612556844726,0.5305452914250017
2,4.18444873893015,3.47663593605945,0.7468823305408865,0.09316808946332833,0.08477167855191947,0.9492280312946865,0.4086791307125485,0.3671953306162268,0.7168576264739933,0.255985623948961,0.1944859483860489,0.5745613338539795
3,3.5124434210346074,3.243546219696676,0.7629199110325916,0.08040835184183175,0.09502667135425977,0.9475960027902646,0.3756274375190878,0.33883662208130483,0.6861931834005772,0.1942372353883778,0.18179205396121606,0.6549705469069329
4,3.5830166060302764,3.0001589862027562,0.7823239156269995,0.07273100699537467,0.07585667706745908,0.9577383304897108,0.3274466789014791,0.33235386316489457,0.6960599476233461,0.23413152539120607,0.15781662439493307,0.6931734687679416
5,3.214897207091047,3.212657478070797,0.7567830447256649,0.07278930041484716,0.13559099516474216,0.92487930489662,0.3224624822276171,0.3470266665283002,0.7501137090804881,0.19122443816451598,0.16774164493146695,0.5953561201998868
6,2.918080419693387,2.6778303904640945,0.7834246978803373,0.07931493799329699,0.08367643001160227,0.9531544343869489,0.31335215835253694,0.2893888645602348,0.7264489603221864,0.15900058699789235,0.14340120469941234,0.6706706989318767
7,2.7309179887539003,8.412477683303948,0.48799053824770455,0.07384168822842511,2.9953637877129076,0.4286155315270101,0.30348536956489197,0.5728500296074645,0.7096250861659086,0.14245618128446655,0.3191079757827565,0.32573099705019504
8,2.7621831580800813,3.7180152992556867,0.7114211011154449,0.07256867862385165,0.15810268686005943,0.9143015975342658,0.2843191927861541,0.33969376488287645,0.7328078585459774,0.15850231395317957,0.23268047356067745,0.4871538472660911
9,2.699844465023134,3.320276313706448,0.8152078632277671,0.07025835128399713,0.07720883221442539,0.9581457439221834,0.2774543827347192,0.3079481392650676,0.7881004570570207,0.15528927670746315,0.21291584829638774,0.6993773887040972
10,2.6271770918570585,2.8875336588773513,0.7970066053638781,0.0687138990448407,0.15303533143342885,0.9257484880605138,0.2779454780955699,0.31851381903752346,0.7639556881180383,0.14609197659966647,0.14274115462724427,0.7013156399130821
11,2.60238470100775,2.81841285291471,0.8084149918093857,0.06934218266611922,0.07019957180197973,0.9597366635960743,0.27234771123634716,0.29788271500203845,0.7517412934536324,0.14641299504108768,0.1573499636654567,0.7137670183784506
12,2.716242497790374,2.8011413046291898,0.7886890997904251,0.06843727878093943,0.06892702812539007,0.9605700073385597,0.2535599774731704,0.2941934570558089,0.7008259829721952,0.1725006667830707,0.157655873468944,0.7046713090605206
13,2.5343641702498103,2.923370790212674,0.7738538897088714,0.06777224678539201,0.07054695517833072,0.9595535679867393,0.25688695337266904,0.2940720809357507,0.7778984442689365,0.14776964496828154,0.17280792803468562,0.5841096568709383
14,2.5993982371201434,3.1954345541789118,0.8214143427458369,0.06504679016251726,0.06493448208373293,0.9617235826370412,0.26371509065994847,0.3795152651636224,0.8205706127604148,0.15197199913646894,0.1541154683196455,0.6819488328400549
15,2.4542555542868922,2.8245462909676973,0.8184653974717385,0.06327545994413951,0.09168605898555957,0.9470056214726957,0.25263640902391293,0.2856493042151731,0.7729119936326393,0.14097475607164806,0.1630767154178225,0.7354785773098808
16,2.3070765128726136,3.12082300508829,0.8131556107779728,0.06152894612800113,0.12266702249758225,0.9367426221532033,0.24391078736500266,0.3416273009060021,0.8164468156663995,0.12824920343678956,0.16125243538080303,0.686277394514316
17,2.3726781062068905,3.2366925392832075,0.7355105228374096,0.06072814328557555,0.09377827411307428,0.9418339832384783,0.24253615267281237,0.27849959576488437,0.7543004338902638,0.13740864912254167,0.2188020385521695,0.5103971513834866
18,2.476039461078608,3.17700217361737,0.7858816607827198,0.06430728227515158,0.1339576035401875,0.9378377777293212,0.24811574621003743,0.35345023007769333,0.7121894128788683,0.14639418137803198,0.15947417797226654,0.7076177917399697
19,2.252207542449851,2.87244222934981,0.8141605148098137,0.06421906051643571,0.14461053174017066,0.9328117635017051,0.23317819503861117,0.2935022409809263,0.8173097909841323,0.1277621882892516,0.15754006069181556,0.6923599899436037
20,2.195945704631913,2.8240726195779957,0.7942524095815869,0.06369655234756658,0.11111607296126229,0.9439997673034668,0.23430334100076897,0.29593236733199957,0.7818197955314378,0.12009155597908189,0.15416183877260164,0.6569376659098562
